Experiment	Flowpot	Plant	R401	Freshweight
I	6	3	56	5.1
I	6	3	54DD	0
I	6	3	56DD	7.3
I	6	3	DD	6.1
I	6	3	HK	2.8
I	6	3	WT	2.6
I	6	4	54	0.9
I	6	4	56	9.8
I	6	4	54DD	0
I	6	4	56DD	5.3
I	6	4	DD	4.4
I	6	4	HK	0
I	6	4	WT	5.6
I	6	5	54	1
I	6	5	56	0
I	6	5	54DD	0
I	6	5	56DD	3.8
I	6	5	DD	2.7
I	6	5	HK	0
I	6	5	WT	7.8
I	6	6	54	0
I	6	6	56	0
I	6	6	54DD	0
I	6	6	56DD	0
I	6	6	DD	0.4
I	6	6	HK	0
I	6	6	WT	0
I	7	1	54	6.6
I	7	1	56	3.9
I	7	1	54DD	2.1
I	7	1	56DD	13.4
I	7	1	DD	1.2
I	7	1	HK	7
I	7	1	WT	2.8
I	7	2	54	1.7
I	7	2	56	4.1
I	7	2	54DD	2.1
I	7	2	56DD	7.9
I	7	2	DD	2
I	7	2	HK	0.4
I	7	2	WT	2.6
I	7	3	54	3.1
I	7	3	56	4.3
I	7	3	54DD	3.8
I	7	3	56DD	29.2
I	7	3	DD	3.5
I	7	3	HK	9.5
I	7	3	WT	2.6
I	7	4	54	2.3
I	7	4	56	0.8
I	7	4	54DD	2.2
I	7	4	56DD	0.2
I	7	4	DD	2.5
I	7	4	HK	0
I	7	4	WT	2.5
I	7	5	54	0
I	7	5	56	0
I	7	5	54DD	3.6
I	7	5	56DD	0
I	7	5	DD	0
I	7	5	HK	0
I	7	5	WT	1.1
I	7	6	54	0
I	7	6	56	0
I	7	6	54DD	0
I	7	6	56DD	0
I	7	6	DD	0
I	7	6	HK	0
I	7	6	WT	0
I	8	1	54	4.4
I	8	1	56	1.4
I	8	1	54DD	10.3
I	8	1	56DD	2.1
I	8	1	DD	4.1
I	8	1	HK	3.1
I	8	1	WT	3.8
I	8	2	54	0.7
I	8	2	56	12.8
I	8	2	54DD	6.9
I	8	2	56DD	3
I	8	2	DD	2.9
I	8	2	HK	2.9
I	8	2	WT	13.1
I	8	3	54	0
I	8	3	56	6
I	8	3	54DD	0.9
I	8	3	56DD	0.6
I	8	3	DD	4.7
I	8	3	HK	3.1
I	8	3	WT	5.8
I	8	4	54	0
I	8	4	56	0
I	8	4	54DD	2.6
I	8	4	56DD	2.2
I	8	4	DD	11.7
I	8	4	HK	4.3
I	8	4	WT	0.2
I	8	5	54	0
I	8	5	56	0
I	8	5	54DD	1
I	8	5	56DD	0
I	8	5	DD	2.6
I	8	5	HK	0
I	8	5	WT	0
I	8	6	54	0
I	8	6	56	0
I	8	6	54DD	0
I	8	6	56DD	0
I	8	6	DD	0
I	8	6	HK	0
I	8	6	WT	0
II	1	1	54	7.5
II	1	1	56	8.5
II	1	1	54DD	7.4
II	1	1	56DD	6.6
II	1	1	DD	8
II	1	1	HK	5.1
II	1	1	WT	22.5
II	1	2	54	7
II	1	2	56	6.4
II	1	2	54DD	5
II	1	2	56DD	4.7
II	1	2	DD	11.4
II	1	2	HK	4.6
II	1	2	WT	6.2
II	1	3	54	2
II	1	3	56	6
II	1	3	54DD	11.4
II	1	3	56DD	6
II	1	3	DD	9.4
II	1	3	HK	5.3
II	1	3	WT	2.2
II	1	4	54	7.2
II	1	4	56	0
II	1	4	54DD	4.4
