Isolate	Isolate_old	Fraction	Phylum	Class	Order	Family	Genus	nBGCs	mean_ant	n_ant	mean_sus	n_sus	R401
Root70	70	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	2	0	0	0	0	0
Root71	71	root-derived	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	7	0.031186869	20	0.003282828	6	0
Root73	73	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	4	0.000626263	2	0.002984848	1	0.591
Root74	74	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	6	0.019075758	8	0	0	0
Root76	76	root-derived	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	ND	8	0	0	0	0	0
Root77	77	root-derived	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	ND	7	0.008106061	7	0	0	0
Root79	79	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	4	0.000353535	1	0.031636364	8	0
Root81	81	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Agromyces	3	0.027272727	11	0.036333333	27	0
Root83	83	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	14	0.006227273	4	0	0	0
Root85	85	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	ND	3	0	0	0.036075758	10	0.768
Root96	96	root-derived	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	ND	8	0.000888889	1	0.006343434	8	0
Root100	100	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	ND	5	0.003131313	2	0	0	0
Root101	101	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Janibacter	1	0	0	0.079207071	28	0.152
Root102	102	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	7	0.001808081	1	0.003015152	1	0
Root105	105	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	ND	2	0.018525253	11	0.011939394	6	0.567
Root107	107	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	ND	36	0.000767677	1	0.042924242	19	0
Root122	122	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	4	0.015348485	10	0.101207071	34	0
Root127	127	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	8	0.035030303	14	0.002489899	6	0
Root131	131	root-derived	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	16	0	0	0	0	0
Root133	133	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	6	0.005035354	3	0.018121212	9	0
Root135	135	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	16	0.00189899	1	0.057787879	18	0
Root136	136	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Nocardia	30	0.005888889	2	0.007727273	7	0.61
Root137	137	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas	4	0.010489899	7	0.014222222	8	0
Root140	140	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	2	0.000267677	1	0.00590404	3	0.418
Root142	142	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	9	0	0	0	0	0
Root147	147	root-derived	Firmicutes	Bacilli	Bacillales	Bacillaceae	ND	9	0.004611111	7	0	0	0
Root149	149	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	8	0	0	0	0	0
Root151	151	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	2	0.001414141	2	0.018570707	18	0.068
Root154	154	root-derived	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	ND	2	0.073085859	36	0	0	0
Root157	157	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	1	0.019919192	13	0	0	0
Root166	166	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	4	0	0	0.020530303	16	0
Root170	170	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	4	0.016212121	17	0	0	0
Root172	172	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	5	0.003131313	2	0.001757576	1	0.348
Root179	179	root-derived	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Rhodanobacter	3	0.012454545	8	0.012191919	9	0.339
Root180	180	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	ND	3	0	0	0.003484848	12	0
Root181	181	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	ND	3	0.041792929	17	0.000434343	1	0.59
Root186	186	root-derived	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	9	0.004015152	4	0.000641414	1	0
Root187	187	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	ND	30	0.006242424	3	0.00740404	16	0
Root189	189	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	19	0.004429293	7	0.032671717	16	0
Root190	190	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	4	0.00280303	2	0.000181818	1	0.353
Root214	214	root-derived	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	2	0	0	0.000454545	1	0
Root217	217	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	4	0.004434343	2	0	0	0
Root219	219	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	4	0	0	0	0	0
