Experiment	Lawn_bacterium	Plate	Colony	Measurement	Colony_diameter	Halo_diameter
I	R22	5	Bottom_left	4	1.078	1.078
I	R22	5	Bottom_left	5	1.075	1.075
I	R265	1	Bottom_left	1	1.426	1.426
I	R265	1	Bottom_left	2	1.391	1.391
I	R265	1	Bottom_left	3	1.414	1.414
I	R265	1	Bottom_left	4	1.431	1.431
I	R265	1	Bottom_left	5	1.42	1.42
I	R265	2	Bottom_left	1	1.318	1.318
I	R265	2	Bottom_left	2	1.296	1.296
I	R265	2	Bottom_left	3	1.329	1.329
I	R265	2	Bottom_left	4	1.358	1.358
I	R265	2	Bottom_left	5	1.314	1.314
I	R265	3	Bottom_left	1	1.421	1.421
I	R265	3	Bottom_left	2	1.373	1.373
I	R265	3	Bottom_left	3	1.436	1.436
I	R265	3	Bottom_left	4	1.47	1.47
I	R265	3	Bottom_left	5	1.412	1.412
I	R265	4	Bottom_left	1	1.273	1.273
I	R265	4	Bottom_left	2	1.238	1.238
I	R265	4	Bottom_left	3	1.292	1.292
I	R265	4	Bottom_left	4	1.292	1.292
I	R265	4	Bottom_left	5	1.273	1.273
I	R265	5	Bottom_left	1	1.34	1.34
I	R265	5	Bottom_left	2	1.327	1.327
I	R265	5	Bottom_left	3	1.373	1.373
I	R265	5	Bottom_left	4	1.37	1.37
I	R265	5	Bottom_left	5	1.336	1.336
I	R4	1	Bottom_left	1	1.19	1.19
I	R4	1	Bottom_left	2	1.179	1.179
I	R4	1	Bottom_left	3	1.239	1.239
I	R4	1	Bottom_left	4	1.236	1.236
I	R4	1	Bottom_left	5	1.226	1.226
I	R4	2	Bottom_left	1	1.179	1.179
I	R4	2	Bottom_left	2	1.134	1.134
I	R4	2	Bottom_left	3	1.193	1.193
I	R4	2	Bottom_left	4	1.177	1.177
I	R4	2	Bottom_left	5	1.206	1.206
I	R4	3	Bottom_left	1	1.245	1.245
I	R4	3	Bottom_left	2	1.209	1.209
I	R4	3	Bottom_left	3	1.284	1.284
I	R4	3	Bottom_left	4	1.226	1.226
I	R4	3	Bottom_left	5	1.245	1.245
I	R4	4	Bottom_left	1	1.218	1.218
I	R4	4	Bottom_left	2	1.178	1.178
I	R4	4	Bottom_left	3	1.222	1.222
I	R4	4	Bottom_left	4	1.241	1.241
I	R4	4	Bottom_left	5	1.227	1.227
I	R4	5	Bottom_left	1	1.175	1.175
I	R4	5	Bottom_left	2	1.128	1.128
I	R4	5	Bottom_left	3	1.186	1.186
I	R4	5	Bottom_left	4	1.193	1.193
I	R4	5	Bottom_left	5	1.188	1.188
I	R553	1	Bottom_left	1	0.996	1.287
I	R553	1	Bottom_left	2	0.963	1.253
I	R553	1	Bottom_left	3	0.99	1.305
I	R553	1	Bottom_left	4	1.027	1.271
I	R553	1	Bottom_left	5	0.99	1.27
I	R553	2	Bottom_left	1	0.97	1.27
I	R553	2	Bottom_left	2	0.961	1.213
I	R553	2	Bottom_left	3	1.013	1.272
I	R553	2	Bottom_left	4	0.993	1.292
I	R553	2	Bottom_left	5	0.979	1.259
I	R553	3	Bottom_left	1	0.976	1.322
I	R553	3	Bottom_left	2	0.978	1.321
I	R553	3	Bottom_left	3	1.001	1.303
I	R553	3	Bottom_left	4	1.007	1.322
I	R553	3	Bottom_left	5	0.988	1.298
I	R553	4	Bottom_left	1	1.009	1.298
I	R553	4	Bottom_left	2	1.001	1.333
I	R553	4	Bottom_left	3	1.028	1.37
I	R553	4	Bottom_left	4	1.07	1.368
I	R553	4	Bottom_left	5	1.018	1.333
I	R553	5	Bottom_left	1	1.041	1.326
I	R553	5	Bottom_left	2	1.03	1.363
I	R553	5	Bottom_left	3	1.085	1.351
I	R553	5	Bottom_left	4	1.072	1.394
I	R553	5	Bottom_left	5	1.066	1.337
I	R667	1	Bottom_left	1	1.411	2.161
I	R667	1	Bottom_left	2	1.375	2.161
I	R667	1	Bottom_left	3	1.417	2.132
I	R667	1	Bottom_left	4	1.452	2.124
I	R667	1	Bottom_left	5	1.402	2.143
I	R667	2	Bottom_left	1	1.357	2.179
I	R667	2	Bottom_left	2	1.33	2.145
I	R667	2	Bottom_left	3	1.358	2.244
I	R667	2	Bottom_left	4	1.39	2.11
I	R667	2	Bottom_left	5	1.357	2.196
I	R667	3	Bottom_left	1	1.322	2.111
I	R667	3	Bottom_left	2	1.287	2.077
I	R667	3	Bottom_left	3	1.339	2.146
I	R667	3	Bottom_left	4	1.31	2.138
I	R667	3	Bottom_left	5	1.33	2.197
I	R667	4	Bottom_left	1	1.159	2.283
I	R667	4	Bottom_left	2	1.185	2.407
I	R667	4	Bottom_left	3	1.201	2.301
I	R667	4	Bottom_left	4	1.125	2.28
I	R667	4	Bottom_left	5	1.192	2.335
I	R667	5	Bottom_left	1	1.429	2.322
I	R667	5	Bottom_left	2	1.375	2.321
I	R667	5	Bottom_left	3	1.452	2.369
I	R667	5	Bottom_left	4	1.425	2.339
I	R667	5	Bottom_left	5	1.429	2.321
II	R483D2	1	Bottom_left	1	1.613	3.208
II	R483D2	1	Bottom_left	2	1.54	3.26
II	R483D2	1	Bottom_left	3	1.573	3.159
II	R483D2	1	Bottom_left	4	1.599	3.248
II	R483D2	1	Bottom_left	5	1.55	3.233
II	R483D2	2	Bottom_left	1	1.505	3.477
II	R483D2	2	Bottom_left	2	1.45	3.225
II	R483D2	2	Bottom_left	3	1.505	3.34
II	R483D2	2	Bottom_left	4	1.508	3.405
II	R483D2	2	Bottom_left	5	1.513	3.322
II	R483D2	3	Bottom_left	1	1.772	3.643
II	R483D2	3	Bottom_left	2	1.695	3.595
II	R483D2	3	Bottom_left	3	1.741	3.598
II	R483D2	3	Bottom_left	4	1.727	3.572
II	R483D2	3	Bottom_left	5	1.756	3.591
II	R483D2	4	Bottom_left	1	1.509	3.377
II	R483D2	4	Bottom_left	2	1.509	3.389
II	R483D2	4	Bottom_left	3	1.512	3.38
II	R483D2	4	Bottom_left	4	1.55	3.419
II	R483D2	4	Bottom_left	5	1.5	3.353
II	R483D2	5	Bottom_left	1	1.631	3.093
II	R483D2	5	Bottom_left	2	1.566	3.147
II	R483D2	5	Bottom_left	3	1.606	3.079
II	R483D2	5	Bottom_left	4	1.619	3.136
II	R483D2	5	Bottom_left	5	1.64	3.113
II	R930	1	Bottom_left	1	1.144	1.284
II	R930	1	Bottom_left	2	1.105	1.266
II	R930	1	Bottom_left	3	1.166	1.278
II	R930	1	Bottom_left	4	1.144	1.256
II	R930	1	Bottom_left	5	1.147	1.266
II	R930	2	Bottom_left	1	1.067	1.213
II	R930	2	Bottom_left	2	1.022	1.23
II	R930	2	Bottom_left	3	1.033	1.236
II	R930	2	Bottom_left	4	1.068	1.212
II	R930	2	Bottom_left	5	1.052	1.23
II	R930	3	Bottom_left	1	1.15	1.296
II	R930	3	Bottom_left	2	1.103	1.296
II	R930	3	Bottom_left	3	1.155	1.315
II	R930	3	Bottom_left	4	1.148	1.293
II	R930	3	Bottom_left	5	1.153	1.308
II	R930	4	Bottom_left	1	1.108	1.248
II	R930	4	Bottom_left	2	1.07	1.204
II	R930	4	Bottom_left	3	1.112	1.271
II	R930	4	Bottom_left	4	1.126	1.268
II	R930	4	Bottom_left	5	1.094	1.239
II	R930	5	Bottom_left	1	1.111	1.355
II	R930	5	Bottom_left	2	1.108	1.319
II	R930	5	Bottom_left	3	1.156	1.312
II	R930	5	Bottom_left	4	1.145	1.32
II	R930	5	Bottom_left	5	1.123	1.302
II	S736	1	Bottom_left	1	1.171	1.47
II	S736	1	Bottom_left	2	1.111	1.434
II	S736	1	Bottom_left	3	1.187	1.43
II	S736	1	Bottom_left	4	1.16	1.442
II	S736	1	Bottom_left	5	1.143	1.482
II	S736	2	Bottom_left	1	1.118	1.389
II	S736	2	Bottom_left	2	1.111	1.373
II	S736	2	Bottom_left	3	1.102	1.423
II	S736	2	Bottom_left	4	1.123	1.377
II	S736	2	Bottom_left	5	1.063	1.385
II	S736	3	Bottom_left	1	0.981	1.228
II	S736	3	Bottom_left	2	0.951	1.218
II	S736	3	Bottom_left	3	0.976	1.254
II	S736	3	Bottom_left	4	0.975	1.251
II	S736	3	Bottom_left	5	0.962	1.248
II	S736	4	Bottom_left	1	0.996	1.218
II	S736	4	Bottom_left	2	0.998	1.249
II	S736	4	Bottom_left	3	0.99	1.248
II	S736	4	Bottom_left	4	1.029	1.247
II	S736	4	Bottom_left	5	0.991	1.218
II	S736	5	Bottom_left	1	1.152	1.294
II	S736	5	Bottom_left	2	1.175	1.294
II	S736	5	Bottom_left	3	1.165	1.325
II	S736	5	Bottom_left	4	1.169	1.321
II	S736	5	Bottom_left	5	1.144	1.312
III	R179	1	Bottom_left	1	1.288	1.747
III	R179	1	Bottom_left	2	1.332	1.77
III	R179	1	Bottom_left	3	1.367	1.782
III	R179	1	Bottom_left	4	1.33	1.898
III	R179	1	Bottom_left	5	1.306	1.735
III	R179	2	Bottom_left	1	1.304	1.874
III	R179	2	Bottom_left	2	1.367	1.89
III	R179	2	Bottom_left	3	1.415	1.819
III	R179	2	Bottom_left	4	1.423	1.857
III	R179	2	Bottom_left	5	1.385	1.801
III	R179	3	Bottom_left	1	1.381	1.622
III	R179	3	Bottom_left	2	1.253	1.702
III	R179	3	Bottom_left	3	1.35	1.695
III	R179	3	Bottom_left	4	1.338	1.682
III	R179	3	Bottom_left	5	1.354	1.711
III	R179	4	Bottom_left	1	1.386	1.948
III	R179	4	Bottom_left	2	1.339	1.925
III	R179	4	Bottom_left	3	1.39	2.048
III	R179	4	Bottom_left	4	1.362	2.062
III	R179	4	Bottom_left	5	1.393	1.972
III	R179	5	Bottom_left	1	1.346	2.103
III	R179	5	Bottom_left	2	1.288	2.086
III	R179	5	Bottom_left	3	1.351	2.112
III	R179	5	Bottom_left	4	1.339	2.101
III	R179	5	Bottom_left	5	1.35	2.086
III	R402	1	Bottom_left	1	1.036	1.283
III	R402	1	Bottom_left	2	1.034	1.295
III	R402	1	Bottom_left	3	1.055	1.335
III	R402	1	Bottom_left	4	1.07	1.343
III	R402	1	Bottom_left	5	1.038	1.295
III	R402	2	Bottom_left	1	1.078	1.486
III	R402	2	Bottom_left	2	1.027	1.414
III	R402	2	Bottom_left	3	1.091	1.503
III	R402	2	Bottom_left	4	1.119	1.482
III	R402	2	Bottom_left	5	1.074	1.439
III	R402	3	Bottom_left	1	1.141	1.509
III	R402	3	Bottom_left	2	1.105	1.438
III	R402	3	Bottom_left	3	1.162	1.579
III	R402	3	Bottom_left	4	1.181	1.566
III	R402	3	Bottom_left	5	1.136	1.499
III	R402	4	Bottom_left	1	1.114	1.114
III	R402	4	Bottom_left	2	1.094	1.094
III	R402	4	Bottom_left	3	1.171	1.171
III	R402	4	Bottom_left	4	1.146	1.146
III	R402	4	Bottom_left	5	1.114	1.114
III	R402	5	Bottom_left	1	1.104	1.604
III	R402	5	Bottom_left	2	1.105	1.694
III	R402	5	Bottom_left	3	1.113	1.672
III	R402	5	Bottom_left	4	1.146	1.626
III	R402	5	Bottom_left	5	1.109	1.61
III	R50	1	Bottom_left	1	1.274	1.568
III	R50	1	Bottom_left	2	1.2	1.588
III	R50	1	Bottom_left	3	1.264	1.576
III	R50	1	Bottom_left	4	1.283	1.604
III	R50	1	Bottom_left	5	1.289	1.555
III	R50	2	Bottom_left	1	1.109	1.589
III	R50	2	Bottom_left	2	1.063	1.533
III	R50	2	Bottom_left	3	1.11	1.559
III	R50	2	Bottom_left	4	1.127	1.551
III	R50	2	Bottom_left	5	1.109	1.554
III	R50	3	Bottom_left	1	1.253	1.519
III	R50	3	Bottom_left	2	1.212	1.444
III	R50	3	Bottom_left	3	1.267	1.515
III	R50	3	Bottom_left	4	1.26	1.427
III	R50	3	Bottom_left	5	1.251	1.516
III	R50	4	Bottom_left	1	1.197	1.606
III	R50	4	Bottom_left	2	1.132	1.658
III	R50	4	Bottom_left	3	1.227	1.506
III	R50	4	Bottom_left	4	1.238	1.609
III	R50	4	Bottom_left	5	1.209	1.519
III	R50	5	Bottom_left	1	1.12	1.586
III	R50	5	Bottom_left	2	1.099	1.59
III	R50	5	Bottom_left	3	1.144	1.554
III	R50	5	Bottom_left	4	1.153	1.626
III	R50	5	Bottom_left	5	1.132	1.622
III	S728	1	Bottom_left	1	1.943	1.943
III	S728	1	Bottom_left	2	1.756	1.756
III	S728	1	Bottom_left	3	1.837	1.837
III	S728	1	Bottom_left	4	1.94	1.94
III	S728	1	Bottom_left	5	2.085	2.085
III	S728	2	Bottom_left	1	2.085	2.085
III	S728	2	Bottom_left	2	1.863	1.863
III	S728	2	Bottom_left	3	2.025	2.025
III	S728	2	Bottom_left	4	1.98	1.98
III	S728	2	Bottom_left	5	2.023	2.023
III	S728	3	Bottom_left	1	2.106	2.106
III	S728	3	Bottom_left	2	2.061	2.061
III	S728	3	Bottom_left	3	2.196	2.196
III	S728	3	Bottom_left	4	2.099	2.099
III	S728	3	Bottom_left	5	2.14	2.14
III	S728	4	Bottom_left	1	2.038	2.038
III	S728	4	Bottom_left	2	1.889	1.889
III	S728	4	Bottom_left	3	1.982	1.982
III	S728	4	Bottom_left	4	2.029	2.029
III	S728	4	Bottom_left	5	2.086	2.086
III	S728	5	Bottom_left	1	2.094	2.094
III	S728	5	Bottom_left	2	1.943	1.943
III	S728	5	Bottom_left	3	2.032	2.032
III	S728	5	Bottom_left	4	2.036	2.036
III	S728	5	Bottom_left	5	2.06	2.06
IV	R105	1	Bottom_left	1	1.062	1.876
IV	R105	1	Bottom_left	2	1.062	1.806
IV	R105	1	Bottom_left	3	1.087	1.919
IV	R105	1	Bottom_left	4	1.11	1.852
IV	R105	1	Bottom_left	5	1.059	1.823
IV	R105	2	Bottom_left	1	1.03	1.947
IV	R105	2	Bottom_left	2	1.038	1.901
IV	R105	2	Bottom_left	3	1.051	1.849
IV	R105	2	Bottom_left	4	1.07	1.92
IV	R105	2	Bottom_left	5	1.027	1.854
IV	R105	3	Bottom_left	1	1.06	2.079
IV	R105	3	Bottom_left	2	1.024	2.03
IV	R105	3	Bottom_left	3	1.075	2.036
IV	R105	3	Bottom_left	4	1.085	2.03
IV	R105	3	Bottom_left	5	1.069	2.038
IV	R105	4	Bottom_left	1	1.065	1.967
IV	R105	4	Bottom_left	2	0.988	1.912
IV	R105	4	Bottom_left	3	1.058	1.935
IV	R105	4	Bottom_left	4	1.061	1.934
IV	R105	4	Bottom_left	5	1.056	1.905
IV	R105	5	Bottom_left	1	0.999	2.222
IV	R105	5	Bottom_left	2	1.086	2.08
IV	R105	5	Bottom_left	3	1.035	2.111
IV	R105	5	Bottom_left	4	1.046	2.17
IV	R105	5	Bottom_left	5	1.001	2.133
IV	R1334	1	Bottom_left	1	1.964	3.273333333
IV	R1334	1	Bottom_left	2	1.863	3.105
IV	R1334	1	Bottom_left	3	1.953	3.255
IV	R1334	1	Bottom_left	4	1.952	3.253333333
IV	R1334	1	Bottom_left	5	1.929	3.215
IV	R1334	2	Bottom_left	1	1.83	3.495
IV	R1334	2	Bottom_left	2	1.821	3.423333333
IV	R1334	2	Bottom_left	3	1.823	3.413333333
IV	R1334	2	Bottom_left	4	1.838	3.453333333
IV	R1334	2	Bottom_left	5	1.813	3.275
IV	R1334	3	Bottom_left	1	1.941	3.178333333
IV	R1334	3	Bottom_left	2	1.854	3.218333333
IV	R1334	3	Bottom_left	3	1.942	3.2
IV	R1334	3	Bottom_left	4	1.895	3.243333333
IV	R1334	3	Bottom_left	5	1.926	3.24
IV	R1334	4	Bottom_left	1	1.848	3.423333333
IV	R1334	4	Bottom_left	2	1.801	3.401666667
IV	R1334	4	Bottom_left	3	1.851	3.338333333
IV	R1334	4	Bottom_left	4	1.864	3.496666667
IV	R483D1	1	Bottom_left	1	1.574	2.947
IV	R483D1	1	Bottom_left	2	1.502	2.804
IV	R483D1	1	Bottom_left	3	1.536	2.972
IV	R483D1	1	Bottom_left	4	1.566	2.956
IV	R483D1	1	Bottom_left	5	1.534	2.929
IV	R483D1	2	Bottom_left	1	1.438	2.75
IV	R483D1	2	Bottom_left	2	1.396	2.732
IV	R483D1	2	Bottom_left	3	1.496	2.726
IV	R483D1	2	Bottom_left	4	1.439	2.742
IV	R483D1	2	Bottom_left	5	1.441	2.732
IV	R483D1	3	Bottom_left	1	1.628	3.125
IV	R483D1	3	Bottom_left	2	1.563	2.804
IV	R483D1	3	Bottom_left	3	1.644	2.922
IV	R483D1	3	Bottom_left	4	1.63	2.973
IV	R483D1	3	Bottom_left	5	1.623	3.019
IV	R483D1	4	Bottom_left	1	1.494	3.161
IV	R483D1	4	Bottom_left	2	1.487	2.859
IV	R483D1	4	Bottom_left	3	1.527	2.822
IV	R483D1	4	Bottom_left	4	1.516	2.917
IV	R483D1	4	Bottom_left	5	1.498	2.857
IV	R483D1	5	Bottom_left	1	1.467	2.882
IV	R483D1	5	Bottom_left	2	1.442	2.79
IV	R483D1	5	Bottom_left	3	1.495	2.924
IV	R483D1	5	Bottom_left	4	1.465	3.025
IV	R483D1	5	Bottom_left	5	1.438	2.984
IV	R670	1	Bottom_left	1	1.89	3.12
IV	R670	1	Bottom_left	2	1.866	2.917
IV	R670	1	Bottom_left	3	1.936	2.896
IV	R670	1	Bottom_left	4	1.929	3.14
IV	R670	1	Bottom_left	5	1.911	3.11
IV	R670	2	Bottom_left	1	1.914	3.352
IV	R670	2	Bottom_left	2	1.86	3.368
IV	R670	2	Bottom_left	3	1.928	3.375
IV	R670	2	Bottom_left	4	1.893	3.401
IV	R670	2	Bottom_left	5	1.926	3.419
IV	R670	3	Bottom_left	1	1.932	3.246
IV	R670	3	Bottom_left	2	1.896	3.269
IV	R670	3	Bottom_left	3	1.911	3.274
IV	R670	3	Bottom_left	4	2.01	3.205
IV	R670	3	Bottom_left	5	1.923	3.26
IV	R670	4	Bottom_left	1	1.86	3.298
IV	R670	4	Bottom_left	2	1.824	3.331
IV	R670	4	Bottom_left	3	1.865	3.251
IV	R670	4	Bottom_left	4	1.881	3.274
IV	R670	4	Bottom_left	5	1.866	3.288
IV	R670	5	Bottom_left	1	1.884	3.454
IV	R670	5	Bottom_left	2	1.813	3.425
IV	R670	5	Bottom_left	3	1.909	3.445
IV	R670	5	Bottom_left	4	1.886	3.372
IV	S728	1	Bottom_left	1	1.826	1.666666667
IV	S728	1	Bottom_left	2	1.723	1.666666667
IV	S728	1	Bottom_left	3	1.829	1.666666667
IV	S728	1	Bottom_left	4	1.798	1.666666667
IV	S728	1	Bottom_left	5	1.799	1.666666667
IV	S728	2	Bottom_left	1	1.777	1.666666667
IV	S728	2	Bottom_left	2	1.696	1.666666667
IV	S728	2	Bottom_left	3	1.771	1.666666667
IV	S728	2	Bottom_left	4	1.781	1.666666667
IV	S728	2	Bottom_left	5	1.762	1.666666667
IV	S728	3	Bottom_left	1	1.542	2.57
IV	S728	3	Bottom_left	2	1.503	2.505
IV	S728	3	Bottom_left	3	1.555	2.591666667
IV	S728	3	Bottom_left	4	1.573	2.621666667
IV	S728	3	Bottom_left	5	1.537	2.561666667
IV	S728	4	Bottom_left	1	1.717	2.861666667
IV	S728	4	Bottom_left	2	1.682	2.803333333
IV	S728	4	Bottom_left	3	1.754	2.923333333
IV	S728	4	Bottom_left	4	1.714	2.856666667
IV	S728	4	Bottom_left	5	1.703	2.838333333
IV	S728	5	Bottom_left	1	1.598	2.663333333
IV	S728	5	Bottom_left	2	1.61	2.683333333
IV	S728	5	Bottom_left	3	1.615	2.691666667
IV	S728	5	Bottom_left	4	1.63	2.716666667
IV	S728	5	Bottom_left	5	1.67	2.783333333
IV	S782	1	Bottom_left	1	1.074	2.155
IV	S782	1	Bottom_left	2	1.036	2.095
IV	S782	1	Bottom_left	3	1.092	2.14
IV	S782	1	Bottom_left	4	1.105	2.138
IV	S782	1	Bottom_left	5	1.074	2.19
IV	S782	2	Bottom_left	1	1.078	2.334
IV	S782	2	Bottom_left	2	0.998	2.214
IV	S782	2	Bottom_left	3	1.113	2.402
IV	S782	2	Bottom_left	4	1.102	2.399
IV	S782	2	Bottom_left	5	1.076	2.335
IV	S782	3	Bottom_left	1	1.105	2.513
IV	S782	3	Bottom_left	2	1.071	2.393
IV	S782	3	Bottom_left	3	1.103	2.555
IV	S782	3	Bottom_left	4	1.1	2.481
IV	S782	3	Bottom_left	5	1.094	2.476
IV	S782	4	Bottom_left	1	1.08	5
IV	S782	4	Bottom_left	2	1.006	2.287
IV	S782	4	Bottom_left	3	1.078	2.452
IV	S782	4	Bottom_left	4	1.108	2.431
IV	S782	4	Bottom_left	5	1.08	2.375
IV	S782	5	Bottom_left	1	1.049	2.607
IV	S782	5	Bottom_left	2	1.018	2.476
IV	S782	5	Bottom_left	3	1.078	2.562
IV	S782	5	Bottom_left	4	1.076	2.603
IV	S782	5	Bottom_left	5	1.069	2.607
V	R29	1	Bottom_left	1	1.04	1.5
V	R29	1	Bottom_left	2	0.968	1.334
V	R29	1	Bottom_left	3	1.028	1.423
V	R29	1	Bottom_left	4	1.048	1.398
V	R29	1	Bottom_left	5	1.04	2.774
V	R29	2	Bottom_left	1	0.979	
V	R29	2	Bottom_left	2	0.945	
V	R29	2	Bottom_left	3	0.958	
V	R29	2	Bottom_left	4	0.95	
V	R29	2	Bottom_left	5	0.945	
V	R29	3	Bottom_left	1	0.947	
V	R29	3	Bottom_left	2	0.994	
V	R29	3	Bottom_left	3	0.998	
V	R29	3	Bottom_left	4	1.009	
V	R29	3	Bottom_left	5	0.906	
V	R29	4	Bottom_left	1	0.977	
V	R29	4	Bottom_left	2	0.916	
V	R29	4	Bottom_left	3	0.943	
V	R29	4	Bottom_left	4	0.96	
V	R29	4	Bottom_left	5	0.97	
V	R29	5	Bottom_left	1	0.916	
V	R29	5	Bottom_left	2	0.876	
V	R29	5	Bottom_left	3	0.897	
V	R29	5	Bottom_left	4	0.899	
V	R29	5	Bottom_left	5	0.916	
V	R85	1	Bottom_left	1	0.837	1.271
V	R85	1	Bottom_left	2	0.784	1.339
V	R85	1	Bottom_left	3	0.824	1.314
V	R85	1	Bottom_left	4	0.838	1.377
V	R85	1	Bottom_left	5	0.835	1.271
V	R85	2	Bottom_left	1	0.816	1.237
V	R85	2	Bottom_left	2	0.772	1.356
V	R85	2	Bottom_left	3	0.813	1.207
V	R85	2	Bottom_left	4	0.824	1.25
V	R85	2	Bottom_left	5	0.822	1.204
V	R85	3	Bottom_left	1	0.829	1.356
V	R85	3	Bottom_left	2	0.806	1.356
V	R85	3	Bottom_left	3	0.817	1.305
V	R85	3	Bottom_left	4	0.825	1.355
V	R85	3	Bottom_left	5	0.832	1.323
V	R85	4	Bottom_left	1	0.816	1.175
V	R85	4	Bottom_left	2	0.768	1.266
V	R85	4	Bottom_left	3	0.803	1.169
V	R85	4	Bottom_left	4	0.817	1.271
V	R85	4	Bottom_left	5	0.815	1.164
V	R85	5	Bottom_left	1	0.869	1.399
V	R85	5	Bottom_left	2	0.801	1.398
V	R85	5	Bottom_left	3	0.837	1.378
V	R85	5	Bottom_left	4	0.849	1.348
V	R85	5	Bottom_left	5	0.86	1.347
V	Rs	1	Bottom_left	1	0.774	0.836
V	Rs	1	Bottom_left	2	0.73	0.805
V	Rs	1	Bottom_left	3	0.746	0.8442
V	Rs	1	Bottom_left	4	0.77	0.8428
V	Rs	1	Bottom_left	5	0.764	0.8442
V	Rs	1	Bottom_center	1	0.684	1.006
V	Rs	1	Bottom_center	2	0.655	1.028
V	Rs	1	Bottom_center	3	0.685	1.031
V	Rs	1	Bottom_center	4	0.685	0.999
V	Rs	1	Bottom_center	5	0.686	0.961
V	Rs	2	Top_right	1	0.703	1.254
V	Rs	2	Top_right	2	0.657	1.186
V	Rs	2	Top_right	3	0.689	1.243
V	Rs	2	Top_right	4	0.686	1.152
V	Rs	2	Top_right	5	0.703	1.188
V	Rs	2	Top_left	1	0.699	0.87
V	Rs	2	Top_left	2	0.671	0.847
V	Rs	2	Top_left	3	0.7	0.871
V	Rs	2	Top_left	4	0.701	0.886
V	Rs	2	Top_left	5	0.706	0.893
V	Rs	2	Mid_right	1	0.778	0.983
V	Rs	2	Mid_right	2	0.726	1
V	Rs	2	Mid_right	3	0.765	1.02
V	Rs	2	Mid_right	4	0.749	0.985
V	Rs	2	Mid_right	5	0.757	1.017
V	S805	1	Bottom_left	1	1.144	1.966
V	S805	1	Bottom_left	2	1.093	1.93
V	S805	1	Bottom_left	3	1.143	1.952
V	S805	1	Bottom_left	4	1.127	1.955
V	S805	1	Bottom_left	5	1.136	2.424
V	S805	2	Bottom_left	1	1.089	2.001
V	S805	2	Bottom_left	2	1.055	1.966
V	S805	2	Bottom_left	3	1.071	2.045
V	S805	2	Bottom_left	4	1.066	2.02
V	S805	2	Bottom_left	5	1.076	2.051
V	S805	3	Bottom_left	1	1.055	1.847
V	S805	3	Bottom_left	2	1.021	2
V	S805	3	Bottom_left	3	1.031	1.954
V	S805	3	Bottom_left	4	1.06	1.98
V	S805	3	Bottom_left	5	1.054	1.915
V	S805	4	Bottom_left	1	1.025	1.842
V	S805	4	Bottom_left	2	0.968	1.796
V	S805	4	Bottom_left	3	1.01	1.744
V	S805	4	Bottom_left	4	1.009	1.853
V	S805	4	Bottom_left	5	1.015	1.798
V	S805	5	Bottom_left	1	1.104	1.935
V	S805	5	Bottom_left	2	1.08	2.115
V	S805	5	Bottom_left	3	1.09	2.093
V	S805	5	Bottom_left	4	1.102	2.009
V	S805	5	Bottom_left	5	1.095	1.983
I	R22	1	Bottom_right	1	1.303	2.374
I	R22	1	Bottom_right	2	1.25	2.357
I	R22	1	Bottom_right	3	1.305	2.392
I	R22	1	Bottom_right	4	1.318	2.443
I	R22	1	Bottom_right	5	1.286	2.338
I	R22	2	Bottom_right	1	1.205	2.339
I	R22	2	Bottom_right	2	1.197	2.267
I	R22	2	Bottom_right	3	1.191	2.227
I	R22	2	Bottom_right	4	1.238	2.265
I	R22	2	Bottom_right	5	1.207	2.286
I	R22	3	Bottom_right	1	1.291	2.434
I	R22	3	Bottom_right	2	1.244	2.346
I	R22	3	Bottom_right	3	1.321	2.249
I	R22	3	Bottom_right	4	1.315	2.336
I	R22	3	Bottom_right	5	1.309	2.365
I	R22	4	Bottom_right	1	1.327	2.541
I	R22	4	Bottom_right	2	1.25	2.488
I	R22	4	Bottom_right	3	1.346	2.435
I	R22	4	Bottom_right	4	1.311	2.448
I	R22	4	Bottom_right	5	1.321	2.435
I	R22	5	Bottom_right	1	1.256	2.489
I	R22	5	Bottom_right	2	1.337	2.607
I	R22	5	Bottom_right	3	1.333	2.524
I	R22	5	Bottom_right	4	1.339	2.541
I	R22	5	Bottom_right	5	1.346	2.559
I	R265	1	Bottom_right	1	1.397	5
I	R265	1	Bottom_right	2	1.338	5
I	R265	1	Bottom_right	3	1.431	5
I	R265	1	Bottom_right	4	1.418	5
I	R265	1	Bottom_right	5	1.403	5
I	R265	2	Bottom_right	1	1.296	5
I	R265	2	Bottom_right	2	1.207	5
I	R265	2	Bottom_right	3	1.308	5
I	R265	2	Bottom_right	4	1.287	5
I	R265	2	Bottom_right	5	1.292	5
I	R265	3	Bottom_right	1	1.315	5
I	R265	3	Bottom_right	2	1.276	5
I	R265	3	Bottom_right	3	1.356	5
I	R265	3	Bottom_right	4	1.328	5
I	R265	3	Bottom_right	5	1.329	5
I	R265	4	Bottom_right	1	1.245	5
I	R265	4	Bottom_right	2	1.24	5
I	R265	4	Bottom_right	3	1.297	5
I	R265	4	Bottom_right	4	1.298	5
I	R265	4	Bottom_right	5	1.228	5
I	R265	5	Bottom_right	1	1.26	5
I	R265	5	Bottom_right	2	1.242	5
I	R265	5	Bottom_right	3	1.296	5
I	R265	5	Bottom_right	4	1.294	5
I	R265	5	Bottom_right	5	1.267	5
I	R4	1	Bottom_right	1	1.275	2.732
I	R4	1	Bottom_right	2	1.214	2.68
