Experiment	Lawn_bacterium	Plate	Colony	Measurement	Colony_diameter	Halo_diameter
II	R483D2	2	Bottom_center	4	1.466	3.099
II	R483D2	2	Bottom_center	5	1.466	3.168
II	R483D2	3	Bottom_center	1	1.473	3.186
II	R483D2	3	Bottom_center	2	1.419	3.127
II	R483D2	3	Bottom_center	3	1.488	3.127
II	R483D2	3	Bottom_center	4	1.475	3.138
II	R483D2	3	Bottom_center	5	1.474	3.136
II	R483D2	4	Bottom_center	1	1.479	3.21
II	R483D2	4	Bottom_center	2	1.431	3.03
II	R483D2	4	Bottom_center	3	1.471	3.187
II	R483D2	4	Bottom_center	4	1.483	3.178
II	R483D2	4	Bottom_center	5	1.473	3.175
II	R483D2	5	Bottom_center	1	1.424	3.117
II	R483D2	5	Bottom_center	2	1.347	3.165
II	R483D2	5	Bottom_center	3	1.422	3.108
II	R483D2	5	Bottom_center	4	1.433	3.122
II	R483D2	5	Bottom_center	5	1.424	3.122
II	R930	1	Bottom_center	1	1.108	2.657
II	R930	1	Bottom_center	2	1.034	2.675
II	R930	1	Bottom_center	3	1.108	2.605
II	R930	1	Bottom_center	4	1.126	2.643
II	R930	1	Bottom_center	5	1.108	2.676
II	R930	2	Bottom_center	1	1.138	2.764
II	R930	2	Bottom_center	2	1.117	2.729
II	R930	2	Bottom_center	3	1.144	2.716
II	R930	2	Bottom_center	4	1.166	2.703
II	R930	2	Bottom_center	5	1.147	2.746
II	R930	3	Bottom_center	1	1.141	2.984
II	R930	3	Bottom_center	2	1.076	3.043
II	R930	3	Bottom_center	3	1.129	2.898
II	R930	3	Bottom_center	4	1.153	3.068
II	R930	3	Bottom_center	5	1.141	3.092
II	R930	4	Bottom_center	1	1.177	2.734
II	R930	4	Bottom_center	2	1.102	2.675
II	R930	4	Bottom_center	3	1.152	2.631
II	R930	4	Bottom_center	4	1.158	2.714
II	R930	4	Bottom_center	5	1.165	2.646
II	R930	5	Bottom_center	1	1.141	3.014
II	R930	5	Bottom_center	2	1.097	3.014
