Lawn_bacterium	Mutant_setup	Iron	Plate	Colony_pos	Colony	Measurement	Halo_size_mm							
Rs	I	___	3	9	Bottom_right	1	4.407							
Rs	I	___	3	9	Bottom_right	2	4.918							
Rs	I	___	3	9	Bottom_right	3	4.589							
Rs	I	___	3	9	Bottom_right	4	5.088							
Rs	I	___	3	9	Bottom_right	5	4.397							
Rs	I	___	4	1	Top_left	1	4.746							
Rs	I	___	4	1	Top_left	2	4.577							
Rs	I	___	4	1	Top_left	3	4.325							
Rs	I	___	4	1	Top_left	4	4.664							
Rs	I	___	4	1	Top_left	5	4.633							
Rs	I	___	4	2	Top_center	1	6.782							
Rs	I	___	4	2	Top_center	2	5.763							
Rs	I	___	4	2	Top_center	3	6.018							
Rs	I	___	4	2	Top_center	4	6.017							
Rs	I	___	4	2	Top_center	5	6.324							
Rs	I	___	4	3	Top_right	1	4.661							
Rs	I	___	4	3	Top_right	2	4.414							
Rs	I	___	4	3	Top_right	3	4.408							
Rs	I	___	4	3	Top_right	4	4.241							
Rs	I	___	4	3	Top_right	5	4.395							
Rs	I	___	4	4	Mid_left	1	4.322							
Rs	I	___	4	4	Mid_left	2	4.495							
Rs	I	___	4	4	Mid_left	3	3.391							
Rs	I	___	4	4	Mid_left	4	4.408							
Rs	I	___	4	4	Mid_left	5	4.520							
Rs	I	___	4	5	Mid_center	1								
Rs	I	___	4	5	Mid_center	2								
Rs	I	___	4	5	Mid_center	3								
Rs	I	___	4	5	Mid_center	4								
Rs	I	___	4	5	Mid_center	5								
Rs	I	___	4	6	Mid_right	1	4.076							
Rs	I	___	4	6	Mid_right	2	4.082							
Rs	I	___	4	6	Mid_right	3	3.907							
Rs	I	___	4	6	Mid_right	4	4.420							
Rs	I	___	4	6	Mid_right	5	4.495							
Rs	I	___	4	7	Bottom_left	1								
Rs	I	___	4	7	Bottom_left	2								
Rs	I	___	4	7	Bottom_left	3								
Rs	I	___	4	7	Bottom_left	4								
Rs	I	___	4	7	Bottom_left	5								
Rs	I	___	4	8	Bottom_center	1	4.238							
Rs	I	___	4	8	Bottom_center	2	3.305							
Rs	I	___	4	8	Bottom_center	3	3.271							
Rs	I	___	4	8	Bottom_center	4	3.907							
Rs	I	___	4	8	Bottom_center	5	4.323							
Rs	I	___	4	9	Bottom_right	1	4.749							
Rs	I	___	4	9	Bottom_right	2	4.504							
Rs	I	___	4	9	Bottom_right	3	4.492							
Rs	I	___	4	9	Bottom_right	4	4.436							
Rs	I	___	4	9	Bottom_right	5	4.915							
Rs	I	___	5	1	Top_left	1	3.315							
Rs	I	___	5	1	Top_left	2	3.559							
Rs	I	___	5	1	Top_left	3	3.390							
Rs	I	___	5	1	Top_left	4	3.733							
Rs	I	___	5	1	Top_left	5	3.364							
Rs	I	___	5	2	Top_center	1	4.579							
Rs	I	___	5	2	Top_center	2	4.576							
Rs	I	___	5	2	Top_center	3	4.589							
Rs	I	___	5	2	Top_center	4	4.410							
Rs	I	___	5	2	Top_center	5	4.237							
Rs	I	___	5	3	Top_right	1	4.071							
Rs	I	___	5	3	Top_right	2	4.241							
Rs	I	___	5	3	Top_right	3	4.071							
Rs	I	___	5	3	Top_right	4	4.068							
