Well	Time	Temp	Mean	Stdev
D7	300.1	20.4	0.806999981	0.070500001
D8	300.1	20.4	0.839299977	0.108099997
D9	300.1	20.4	0.815900028	0.1039
E1	300.1	20.4	0.779500008	0.163399994
E10	300.1	20.4	0.810299993	0.109200001
E11	300.1	20.4	0.893000007	0.139799997
E12	300.1	20.4	0.824800014	0.144099995
E2	300.1	20.4	0.775900006	0.147599995
E3	300.1	20.4	0.825299978	0.126599997
E4	300.1	20.4	0.834200025	0.125799999
E5	300.1	20.4	0.774299979	0.147300005
E6	300.1	20.4	0.905600011	0.113300003
E7	300.1	20.4	0.828499973	0.100699998
E8	300.1	20.4	0.865700006	0.1787
E9	300.1	20.4	0.827000022	0.075499997
F1	300.1	20.4	0.78609997	0.100699998
F10	300.1	20.4	0.949800014	0.110799998
F11	300.1	20.4	0.843200028	0.0788
F12	300.1	20.4	0.865400016	0.091499999
F2	300.1	20.4	0.790199995	0.115999997
F3	300.1	20.4	0.799600005	0.117399998
F4	300.1	20.4	0.872699976	0.1008
F5	300.1	20.4	0.904399991	0.0902
F6	300.1	20.4	0.832000017	0.085299999
F7	300.1	20.4	0.930299997	0.066100001
F8	300.1	20.4	0.892099977	0.148599997
F9	300.1	20.4	0.944800019	0.122900002
G1	300.1	20.4	0.770099998	0.123800002
G10	300.1	20.4	0.871299982	0.060800001
G11	300.1	20.4	0.942399979	0.186100006
G12	300.1	20.4	0.927699983	0.157000005
G2	300.1	20.4	0.789600015	0.1752
G3	300.1	20.4	0.819500029	0.121600002
G5	300.1	20.4	0.877499998	0.172700003
G5	300.1	20.4	0.936699986	0.177399993
G6	300.1	20.4	0.914900005	0.115800001
G7	300.1	20.4	0.886600018	0.177599996
G8	300.1	20.4	0.945200026	0.219600007
G9	300.1	20.4	0.990999997	0.109300002
A1	600.1	20.8	0.385600001	0.142000005
A10	600.1	20.8	0.380600005	0.126200005
A11	600.1	20.8	0.486799985	0.091899998
A12	600.1	20.8	0.494800001	0.123300001
A2	600.1	20.8	0.396400005	0.146300003
A3	600.1	20.8	0.440200001	0.074600004
A4	600.1	20.8	0.490099996	0.131500006
A5	600.1	20.8	0.323799998	0.0537
A6	600.1	20.8	0.353199989	0.0559
A7	600.1	20.8	0.499199986	0.136399999
A8	600.1	20.8	0.4366	0.071699999
A9	600.1	20.8	0.378199995	0.107900001
B1	600.1	20.8	0.334399998	0.108999997
B10	600.1	20.8	0.349999994	0.091499999
B11	600.1	20.8	0.463	0.079800002
B12	600.1	20.8	0.461400002	0.085500002
B2	600.1	20.8	0.368099988	0.0942
B3	600.1	20.8	0.464399993	0.113899998
B4	600.1	20.8	0.465299994	0.110100001
B5	600.1	20.8	0.379599988	0.107199997
B6	600.1	20.8	0.376599997	0.110200003
B7	600.1	20.8	0.425199986	0.094599999
B8	600.1	20.8	0.440800011	0.090300001
B9	600.1	20.8	0.364600003	0.094400004
C1	600.1	20.8	0.799399972	0.111000001
C10	600.1	20.8	0.81309998	0.115599997
C11	600.1	20.8	0.848800004	0.101499997
C12	600.1	20.8	0.842800021	0.108999997
C2	600.1	20.8	0.803799987	0.107100002
C3	600.1	20.8	0.832000017	0.093599997
C4	600.1	20.8	0.843299985	0.113700002
C5	600.1	20.8	0.810100019	0.111400001
C6	600.1	20.8	0.811999977	0.109800003
C7	600.1	20.8	0.846899986	0.119000003
C8	600.1	20.8	0.849900007	0.112999998
C9	600.1	20.8	0.811500013	0.110600002
D1	600.1	20.8	0.745100021	0.050299998
D10	600.1	20.8	0.79519999	0.107000001
D11	600.1	20.8	0.833000004	0.100100003
D12	600.1	20.8	0.805899978	0.072400004
D2	600.1	20.8	0.716199994	0.040399998
D3	600.1	20.8	0.827899992	0.092600003
D4	600.1	20.8	0.830799997	0.110399999
D5	600.1	20.8	0.795099974	0.0986
D6	600.1	20.8	0.774500012	0.077600002
D7	600.1	20.8	0.806699991	0.076399997
D8	600.1	20.8	0.834100008	0.108800001
D9	600.1	20.8	0.796400011	0.102200001
E1	600.1	20.8	0.775399983	0.163000003
E10	600.1	20.8	0.806699991	0.109499998
E11	600.1	20.8	0.887899995	0.151099995
E12	600.1	20.8	0.810699999	0.083700001
E2	600.1	20.8	0.772300005	0.167500004
E3	600.1	20.8	0.852599978	0.135100007
E4	600.1	20.8	0.784099996	0.155000001
E5	600.1	20.8	0.780300021	0.137999997
E6	600.1	20.8	0.897899985	0.103600003
E7	600.1	20.8	0.915700018	0.1052
E8	600.1	20.8	0.862800002	0.173899993
E9	600.1	20.8	0.821200013	0.085299999
F1	600.1	20.8	0.808300018	0.057
F10	600.1	20.8	0.924199998	0.0647
F11	600.1	20.8	0.842899978	0.088500001
F12	600.1	20.8	0.866599977	0.088
F2	600.1	20.8	0.781300008	0.0977
F3	600.1	20.8	0.791700006	0.101800002
F4	600.1	20.8	0.851800025	0.110299997
F5	600.1	20.8	0.807299972	0.0678
F6	600.1	20.8	0.84890002	0.087399997
F7	600.1	20.8	0.927999973	0.072999999
F8	600.1	20.8	0.889999986	0.143600002
F9	600.1	20.8	0.948300004	0.122900002
G1	600.1	20.8	0.765299976	0.112000003
G10	600.1	20.8	0.870899975	0.056000002
G11	600.1	20.8	0.953599989	0.160999998
G12	600.1	20.8	0.917900026	0.143999994
G2	600.1	20.8	0.782899976	0.162799999
G3	600.1	20.8	0.804799974	0.141499996
G5	600.1	20.8	0.930299997	0.175799996
G6	600.1	20.8	0.866900027	0.187999994
G6	600.1	20.8	0.915799975	0.134399995
G7	600.1	20.8	0.870999992	0.133699998
G8	600.1	20.8	1.005800009	0.100100003
G9	600.1	20.8	0.987699986	0.115400001
A1	900.2	21.1	0.365500003	0.135299996
A10	900.2	21.1	0.3662	0.1329
A11	900.2	21.1	0.465999991	0.097199999
A12	900.2	21.1	0.458299994	0.112499997
A2	900.2	21.1	0.370700002	0.1373
A3	900.2	21.1	0.418799996	0.077200003
