Well	Value	Measurement_mode	Measurement_wavelength	Measurement_time	Filename
E8	0.9804	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
E9	0.7107	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
E10	0.9861	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
E11	0.9625	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
E12	0.082	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
F1	0.0817	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
F2	1.0926	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
F3	0.9983	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
F4	0.915	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
F5	0.9837	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
F6	1.0047	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
F7	1.0097	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
F8	1.0507	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
F9	0.953	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
F10	1.0093	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
F11	0.9829	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
F12	0.0818	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
G1	0.0822	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
G2	1.0398	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
G3	1.0064	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
G4	0.9926	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
G5	0.9726	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
G6	0.9623	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
G7	1.0396	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
G8	1.0031	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
G9	0.9301	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
G10	1.039	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
G11	1.0593	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
G12	0.0819	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
H1	0.0826	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
H2	0.0827	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
H3	0.0834	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
H4	0.083	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
H5	0.0822	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
H6	0.0824	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
H7	0.0818	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
H8	0.0823	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
H9	0.0816	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
H10	0.082	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
H11	0.0818	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
H12	0.083	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
A1	131	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
A2	129	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
A3	121	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
A4	135	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
A5	122	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
A6	120	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
A7	132	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
A8	115	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
A9	129	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
A10	126	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
A11	129	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
A12	135	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
B1	128	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
B2	402	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
B3	363	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
B4	329	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
B5	327	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
B6	331	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
B7	343	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
B8	313	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
B9	343	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
B10	328	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
B11	356	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
B12	132	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
C1	145	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
C2	471	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
C3	390	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
C4	319	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
C5	341	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
C6	299	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
C7	339	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
C8	328	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
C9	321	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
C10	333	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
C11	437	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
C12	101	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
D1	139	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
D2	377	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
D3	311	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
D4	133	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
D5	319	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
D6	546	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
D7	301	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
D8	321	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
D9	347	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
D10	345	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
D11	312	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
D12	133	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
E1	137	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
E2	343	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
E3	356	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
E4	390	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
E5	320	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
E6	309	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
E7	321	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
E8	305	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
E9	409	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
E10	362	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
E11	379	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
E12	127	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
F1	127	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
F2	382	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
F3	318	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
F4	386	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
F5	321	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
F6	337	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
F7	320	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
F8	349	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
F9	317	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
F10	393	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
F11	351	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
F12	124	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
G1	136	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
G2	333	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
G3	329	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
G4	304	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
G5	330	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
G6	319	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
G7	334	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
G8	344	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
G9	373	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
G10	367	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
G11	388	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
G12	132	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
H1	132	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
H2	126	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
H3	126	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
H4	140	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
H5	125	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
H6	125	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
H7	120	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
H8	122	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
H9	130	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
H10	125	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
H11	126	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
H12	144	Fluorescence Bottom Reading	475nm/510nm	2020-01-24 16:15:04	P94.xlsx
A1	68	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
A2	72	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
A3	72	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
A4	77	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
A5	79	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
A6	65	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
A7	68	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
A8	63	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
A9	61	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
A10	74	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
A11	77	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
A12	75	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
B1	65	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
B2	698	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
B3	566	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
B4	536	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
B5	475	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
B6	524	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
B7	499	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
B8	457	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
B9	503	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
B10	519	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
B11	557	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
B12	83	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
C1	85	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
C2	741	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
C3	603	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
C4	542	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
C5	506	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
C6	485	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
C7	489	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
C8	504	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
C9	491	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
C10	486	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
C11	679	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
C12	57	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
D1	66	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
D2	634	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
D3	503	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
D4	65	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
D5	470	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
D6	916	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
D7	448	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
D8	491	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
D9	544	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
D10	536	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
D11	459	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
D12	70	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
E1	73	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
E2	534	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
E3	544	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
E4	623	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
E5	428	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
E6	465	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
E7	450	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
E8	474	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
E9	678	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
E10	540	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
E11	541	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
E12	74	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
F1	75	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
F2	577	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
F3	491	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
F4	587	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
F5	515	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
F6	562	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
F7	541	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
F8	538	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
F9	460	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
F10	648	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
F11	507	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
F12	71	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
G1	65	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
G2	481	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
G3	486	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
G4	502	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
G5	453	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
G6	474	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
G7	497	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
G8	529	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
G9	646	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
G10	589	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
G11	567	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
G12	65	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
H1	68	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
H2	72	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
H3	69	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
H4	72	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
H5	77	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
H6	68	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
H7	63	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
H8	64	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
H9	69	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
H10	67	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
H11	66	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
H12	70	Fluorescence Bottom Reading	485nm/535nm	2020-01-24 16:15:41	P94.xlsx
A1	0.7227	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
A2	0.8284	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
A3	0.832	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
A4	0.8271	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
A5	0.8091	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
A6	0.7805	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
A7	0.8044	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
A8	0.8263	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
A9	0.8226	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
A10	0.822	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
A11	0.8632	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
A12	0.8413	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
B1	0.8012	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
B2	1.0666	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
B3	1.0006	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
B4	1.0084	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
B5	0.8731	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
B6	0.7869	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
B7	0.9104	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
B8	0.8479	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
B9	0.9518	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
B10	0.9831	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
B11	0.9974	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
B12	0.8508	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
C1	0.8054	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
C2	1.0215	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
C3	1.0108	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
C4	0.8184	Absorbance	600	2020-01-24 15:17:54	P94_Rs.xlsx
