Well	Value	Measurement_mode	Measurement_wavelength	Measurement_time	Filename
A1	0.0806	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
A2	0.0812	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
A3	0.0817	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
A4	0.0811	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
A5	0.0813	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
A6	0.0819	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
A7	0.0819	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
A8	0.0827	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
A9	0.0832	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
A10	0.0826	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
A11	0.0821	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
A12	0.0823	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
B1	0.0808	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
B2	1.0003	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
B3	1.0144	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
B4	1.0196	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
B5	1.0013	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
B6	1.0644	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
B7	0.9938	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
B8	0.9678	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
B9	0.9815	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
B10	1.0037	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
B11	1.0546	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
B12	0.0814	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
C1	0.0813	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
C2	1.0092	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
C3	1.0282	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
C4	0.965	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
C5	0.9977	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
C6	0.9944	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
C7	0.9754	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
C8	0.9771	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
C9	1.0136	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
C10	0.9626	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
C11	1.0713	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
C12	0.0823	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
D1	0.0815	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
D2	1.0236	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
D3	0.9588	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
D4	0.081	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
D5	0.9779	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
D6	0.8866	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
D7	0.9955	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
D8	0.9606	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
D9	1.02	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
D10	0.9256	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
D11	0.98	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
D12	0.0824	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
E1	0.0817	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
E2	0.9704	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
E3	0.9506	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
E4	1.0471	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
E5	0.9957	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
E6	0.9617	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
E7	0.9928	Absorbance	600	2020-01-24 16:14:08	P94.xlsx
